,GMOクリック証券,SBI証券,マネックス証券,松井証券,楽天証券
5万円,,50円 （税込54円）,,,50円（54円）
~10万円,95円,90円 （税込97円）,100円,0円,90円（97円）
~20万円,105円,105円 （税込113円）,180円,,105円（113円）
~30万円,,,250円,300円/0円(※),
~40万円,,,350円,,
~50万円,260円,250円 （税込270円）,450円,500円,250円（270円）
~100万円,470円,487円 （税込525円）,"（成行注文）1,000円  （指値注文）1,500円","1,000円",487円（525円）
~150万円,,582円 （税込628円）,（成行注文）約定金額の0.1%  （指値注文）約定金額の0.15%,,582円（628円）
~200万円,570円,,（成行注文）約定金額の0.1%  （指値注文）約定金額の0.15%,"2,000円",
~3000万円,900円,921円 （税込994円）,（成行注文）約定金額の0.1%  （指値注文）約定金額の0.15%,,921円（994円）
3000万円超,960円,"973円 （税込1,050円）",（成行注文）約定金額の0.1%  （指値注文）約定金額の0.15%,,"973円（1,050円）"
1億超,,,（成行注文）約定金額の0.1%  （指値注文）約定金額の0.15%,"100,000円(上限)",
